Step,Value,Legend
547000.0,-4.223388818003883,Pos+CNN
548000.0,-4.205087705198172,Pos+CNN
549000.0,-4.155694537913879,Pos+CNN
550000.0,-4.196118309972959,Pos+CNN
551000.0,-4.199811201427741,Pos+CNN
552000.0,-4.223945564108734,Pos+CNN
553000.0,-4.22215256370481,Pos+CNN
554000.0,-4.234233049685829,Pos+CNN
555000.0,-4.216282459823608,Pos+CNN
556000.0,-4.20690030266037,Pos+CNN
557000.0,-4.213160116361885,Pos+CNN
558000.0,-4.211254456582609,Pos+CNN
559000.0,-4.173570630943574,Pos+CNN
560000.0,-4.185531375900911,Pos+CNN
561000.0,-4.202643643012848,Pos+CNN
562000.0,-4.197785780510949,Pos+CNN
563000.0,-4.173325015502735,Pos+CNN
564000.0,-4.189823321230894,Pos+CNN
565000.0,-4.1664177727116165,Pos+CNN
566000.0,-4.1893323167008525,Pos+CNN
567000.0,-4.24232941355807,Pos+CNN
568000.0,-4.250244395059122,Pos+CNN
569000.0,-4.274035051778639,Pos+CNN
570000.0,-4.323935269862314,Pos+CNN
571000.0,-4.418812191061582,Pos+CNN
572000.0,-4.418093649341449,Pos+CNN
573000.0,-4.3501748734753285,Pos+CNN
574000.0,-4.33873567077904,Pos+CNN
575000.0,-4.61491979597727,Pos+CNN
576000.0,-4.610981948840455,Pos+CNN
577000.0,-4.574509997451746,Pos+CNN
578000.0,-4.6269703152976644,Pos+CNN
579000.0,-4.621891521517644,Pos+CNN
580000.0,-4.596208808768788,Pos+CNN
581000.0,-4.561989639253962,Pos+CNN
582000.0,-4.522821956226201,Pos+CNN
583000.0,-4.5542447593624615,Pos+CNN
584000.0,-4.514976456311789,Pos+CNN
585000.0,-4.524947886486923,Pos+CNN
586000.0,-4.506635134000651,Pos+CNN
587000.0,-4.54910075202596,Pos+CNN
588000.0,-4.523230458878092,Pos+CNN
589000.0,-4.466558641496779,Pos+CNN
590000.0,-4.417519900191136,Pos+CNN
591000.0,-4.42597568466156,Pos+CNN
592000.0,-4.404016171020217,Pos+CNN
593000.0,-4.3949989819684125,Pos+CNN
594000.0,-4.341427342787442,Pos+CNN
595000.0,-4.369221679230834,Pos+CNN
596000.0,-4.311107294030278,Pos+CNN
597000.0,-4.333566603515471,Pos+CNN
598000.0,-4.367521703820654,Pos+CNN
599000.0,-4.531855050277876,Pos+CNN
600000.0,-4.564485401287237,Pos+CNN
601000.0,-4.545334960873753,Pos+CNN
602000.0,-4.490885133110522,Pos+CNN
603000.0,-4.430410207147288,Pos+CNN
604000.0,-4.473921106053535,Pos+CNN
605000.0,-4.405558212104923,Pos+CNN
606000.0,-4.354915966916394,Pos+CNN
607000.0,-4.329921230486926,Pos+CNN
608000.0,-4.293242094488245,Pos+CNN
609000.0,-4.383703152033425,Pos+CNN
610000.0,-4.4394080834667875,Pos+CNN
611000.0,-4.500867683413321,Pos+CNN
612000.0,-4.453198399927775,Pos+CNN
613000.0,-4.50442337239507,Pos+CNN
614000.0,-4.485478501344591,Pos+CNN
615000.0,-4.5407832858797175,Pos+CNN
616000.0,-4.566486888919716,Pos+CNN
617000.0,-4.514858475431524,Pos+CNN
618000.0,-4.5603269373868764,Pos+CNN
619000.0,-4.491975221407425,Pos+CNN
620000.0,-4.40265995433272,Pos+CNN
621000.0,-4.399825464306514,Pos+CNN
622000.0,-4.326040248162874,Pos+CNN
623000.0,-4.253937809748414,Pos+CNN
624000.0,-4.200282872347846,Pos+CNN
625000.0,-4.173183140752091,Pos+CNN
626000.0,-4.10476652455082,Pos+CNN
627000.0,-4.0707476306772525,Pos+CNN
628000.0,-4.029947690206317,Pos+CNN
629000.0,-4.041375954385272,Pos+CNN
630000.0,-4.048824874027458,Pos+CNN
631000.0,-4.074866305878453,Pos+CNN
